attributeName,attributeValue,testName,subTestName,subSubTestName,relaxedUpperLimit,upperLimit,measurementValue,lowerLimit,relaxedLowerLimit,measurementUnits,priority,status,failureMessage,startTime,stopTime,timeInterval
SwName,QT1 Compass,,,,,,,,,,,,,,,
SwVersion,TPv1.0_V05,,,,,,,,,,,,,,,
,,Process,Start_Test_QT1,,,1,1,0,,,,PASS,,,,
,,DUT_Info,Enter_Diag,Enter_Diag,,1,1,0,,,,PASS,,,,
,,DUT_Info,Read_SysSN,,,1,1,0,,,,PASS,,,,
DIAG_VER,34D18af0ai,,,,,,,,,,,,,,,
,,DUT_Info,Diag_Version,,,1,1,0,,,,PASS,,,,
Board ID,0x1A,,,,,,,,,,,,,,,
,,DUT_Info,Get_Board_ID,,,1,1,0,,,,PASS,,,,
PrimaryIdentity,F2L07QVX2P,,,,,,,,,,,,,,,
LimitVersion,V1.0,,,,,,,,,,,,,,,
,,Process_Control,Start_Process_Control,Start_Process_Control,,1,1,0,,,,PASS,,,,
,,DUT_Info,Wafer_ID,,,1,1,0,,,,PASS,,,,
,,Compass,CRot,Writing_CRot,,1,1,0,,,,PASS,,,,
,,Compass,CRot,Reading_CRot,,1,1,0,,,,PASS,,,,
CRot,0x00000002 0x000000FF 0x0000FF00 0x00010000,,,,,,,,,,,,,,,
,,Compass,CRot,Checking_CRot,,1,1,0,,,,PASS,,,,
,,Compass,WCAL,Check_WCAL,,1,1,0,,,,PASS,,,,
,,Battery,Battery_Info,Battery_Check_FCC_Before_Test,NA,NA,9093,NA,NA,%,1,PASS,,,,
,,Battery,Battery_Info,Set_Unit_to_Sealing_State,,1,1,0,,,,PASS,,,,
,,Battery,Battery_Info,Validate_Chem_Stored_Checksum,,1,1,0,,,,PASS,,,,
BATT_CHECKSUM,67EB,,,,,,,,,,,,,,,
,,Battery,Battery_Info,Validate_the_DFCS_All_checksum,,1,1,0,,,,PASS,,,,
,,Battery,Battery_Info,Battery_Static_Parameters_BATTCS,,1,1,0,,,,PASS,,,,
,,DUT_Info,Get_SFC_Info,,,1,1,0,,,,PASS,,,,
,,DUT_Info,LCM_SN_From_SFC,,,1,1,0,,,,PASS,,,,
LCM_SN,FMX11120LT6N44VA8G2J141411DY910670GDNL9DHAWBH2CBA1XXXXXXXXXXXXXXXXXFYX,,,,,,,,,,,,,,,
,,DUT_Info,Read_Back_LCD_SN_and_Check_with_SFC,,,1,1,0,,,,PASS,,,,
,,DUT_Info,AP_Chip_ID,,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,Initialize_Magnetometer,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_Connectivity_Test,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,Re_Initialize_Compass,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_Version,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_Read_Reg0_128,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_Selftest,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_SuppID,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_ChipID,,1,1,0,,,,PASS,,,,
Mag_RevID,0x92,,,,,,,,,,,,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_RevID,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_CRC,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LNM_Average_X,NA,1200,10.68192,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LNM_Average_Y,NA,1200,-39.28794,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LNM_Average_Z,NA,1200,-50.115501,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,LNM_NoField_X_STD,NA,NA,0.174439,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LNM_NoField_Y_STD,NA,NA,0.145846,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LNM_NoField_Z_STD,NA,NA,0.215109,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_LNM_Verify,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LPM_Average_X,NA,1200,12.645009,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LPM_Average_Y,NA,1200,-38.867071,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_LPM_Average_Z,NA,1200,-48.184451,-1200,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NoField_X_STD,NA,NA,0.190236,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NoField_Y_STD,NA,NA,0.201894,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NoField_Z_STD,NA,NA,0.270275,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_Mode_Delta_X,NA,NA,1.963089,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_Mode_Delta_Y,NA,NA,0.4208689999999962,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_Mode_Delta_Z,NA,NA,1.931049999999999,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_Mode_Delta_M,NA,5,2.785642338776102,0.0001,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_North_X,NA,NA,-88.54558900000001,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_North_Y,NA,NA,-134.883117,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_North_Z,NA,NA,48.929494,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_North_M,NA,NA,168.6056700294763,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NorthField_X_STD,NA,NA,0.180865,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NorthField_Y_STD,NA,NA,0.237029,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_NorthField_Z_STD,NA,NA,0.325189,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_South_X,NA,NA,74.949727,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_South_Y,NA,NA,20.290285,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_South_Z,NA,NA,-107.953892,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_South_M,NA,NA,132.9781938541181,NA,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_SouthField_X_STD,NA,NA,0.194483,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_SouthField_Y_STD,NA,NA,0.168178,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,LPM_SouthField_Z_STD,NA,NA,0.251442,NA,NA,uT-rms,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_NMS_X,NA,-132.5,-163.495316,-179.3,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_NMS_Y,NA,-132.5,-155.173402,-179.3,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_NMS_Z,NA,179.3,156.883386,132.5,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,VA_Magnetometer_NMS_M1,NA,310.5,274.6304787255385,229.5,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Magnetometer_LPM_Verify,,1,1,0,,,,PASS,,,,
,,Motion_Sensor,Compass,Min_X_STD,NA,0.5,0.174439,0,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Min_Y_STD,NA,0.5,0.145846,0,NA,uT,1,PASS,,,,
,,Motion_Sensor,Compass,Min_Z_STD,NA,0.5,0.215109,0,NA,uT,1,PASS,,,,
,,Process,Check_amIok,,,1,1,0,,,,PASS,,,,
,,Battery,Battery_Level_Check,Battery_Check_FCC_After_Test,NA,NA,9093,NA,NA,%,1,PASS,,,,
,,Battery,Battery_Level_Check,Battery Lifetime Data- Max Pack Voltage,NA,NA,4301,NA,NA,%,1,PASS,,,,
,,Battery,Battery_Level_Check,Check_Battery_Level_After_Test,NA,101,97,0,NA,%,1,PASS,,,,
,,CB Error,Could not set PASS CB,,,1,0,0,,,,FAIL,Setting CB (0x82) to PASS failed,,,
,,Group,Failure,FINISH_PROCESS_CONTROL,,1,0,0,,,,FAIL,process control finish fail,,,
,,Teardown,End_Test_QT1,Subtest_1 M:finishCB ERROR_FROM_TECH_FUNCTION,,1,0,0,,,,FAIL,"/Users/gdlocal/Library/Atlas2/Modules/Matchbox/Matchbox.lua:239: {;     ErrorLocation = ""ATKProcessControlHandler.m:-[ATKProcessControlHandler writeCB:password:status:device:swVersion:error:]:501"";;     NSLocalizedDescription = ""Setting CB (0x82) to PASS failed"";; }; stack traceback:; 	[C]: in field 'finish'; 	/Users/gdlocal/Library/Atlas2/Modules/Matchbox/Matchbox.lua:239: in function 'Matchbox/Matchbox.finishCB'; 	[C]: in function 'xpcall'; 	...ocal/Library/Atlas2/Modules/Matchbox/SequenceControl.lua:4...",,,
,,Teardown,End_Test_QT1,End_Test_QT1,,1,1,0,,,,PASS,,,,
,,Teardown,Cycle_Time,Cycle_Time,NA,NA,17.10400009155273,NA,NA,,1,PASS,No user failure message was provided,,,
,,,,,,,,,,,,,,May 28 2021 9:02:49.5870 AM,May 28 2021 9:03:06.7660 AM,
